guid,text,back extra,tags
oY{_2|t_gc,Times Table<br><br>{{c1::12::number}} x {{c2::16::times}} = {{c3::192::answer}},,ttx12
Lh/[TklEFn,Times Table<br><br>{{c1::12::number}} x {{c2::17::times}} = {{c3::204::answer}},,ttx12
yEsNPt[hmW,Times Table<br><br>{{c1::12::number}} x {{c2::18::times}} = {{c3::216::answer}},,ttx12
r<[Ki[dBV$,Times Table<br><br>{{c1::12::number}} x {{c2::19::times}} = {{c3::228::answer}},,ttx12
i`E-tG}weW,Times Table<br><br>{{c1::12::number}} x {{c2::20::times}} = {{c3::240::answer}},,ttx12
f.mBukU-yh,Times Table<br><br>{{c1::13::number}} x {{c2::1::times}} = {{c3::13::answer}},,ttx13
Oha(3$7WD6,Times Table<br><br>{{c1::13::number}} x {{c2::2::times}} = {{c3::26::answer}},,ttx13
BS[*g$x=S{,Times Table<br><br>{{c1::13::number}} x {{c2::3::times}} = {{c3::39::answer}},,ttx13
N$SkUygGI=,Times Table<br><br>{{c1::13::number}} x {{c2::4::times}} = {{c3::52::answer}},,ttx13
A|+7+nM|=:,Times Table<br><br>{{c1::13::number}} x {{c2::5::times}} = {{c3::65::answer}},,ttx13
EgLo.@~67y,Times Table<br><br>{{c1::13::number}} x {{c2::6::times}} = {{c3::78::answer}},,ttx13
jVdu7hjeB%,Times Table<br><br>{{c1::13::number}} x {{c2::7::times}} = {{c3::91::answer}},,ttx13
tane{5]{Rb,Times Table<br><br>{{c1::13::number}} x {{c2::8::times}} = {{c3::104::answer}},,ttx13
"pNFUH,~#iW",Times Table<br><br>{{c1::13::number}} x {{c2::9::times}} = {{c3::117::answer}},,ttx13
O!c<`~g.Ho,Times Table<br><br>{{c1::13::number}} x {{c2::10::times}} = {{c3::130::answer}},,ttx13
vlE1h[HD&C,Times Table<br><br>{{c1::13::number}} x {{c2::11::times}} = {{c3::143::answer}},,ttx13
Hyv7nSSl_O,Times Table<br><br>{{c1::13::number}} x {{c2::12::times}} = {{c3::156::answer}},,ttx13
Hy5B/@m^A;,Times Table<br><br>{{c1::13::number}} x {{c2::13::times}} = {{c3::169::answer}},,ttx13
v)->7#2.AG,Times Table<br><br>{{c1::13::number}} x {{c2::14::times}} = {{c3::182::answer}},,ttx13
u^9Kfqd]se,Times Table<br><br>{{c1::13::number}} x {{c2::15::times}} = {{c3::195::answer}},,ttx13
"B<qLW,T9l9",Times Table<br><br>{{c1::13::number}} x {{c2::16::times}} = {{c3::208::answer}},,ttx13
Lnwx>xiF[K,Times Table<br><br>{{c1::13::number}} x {{c2::17::times}} = {{c3::221::answer}},,ttx13
sm}||RS~=P,Times Table<br><br>{{c1::13::number}} x {{c2::18::times}} = {{c3::234::answer}},,ttx13
u1A*`v:<)0,Times Table<br><br>{{c1::13::number}} x {{c2::19::times}} = {{c3::247::answer}},,ttx13
n;kmi16Zfc,Times Table<br><br>{{c1::13::number}} x {{c2::20::times}} = {{c3::260::answer}},,ttx13
I$rpkFM%RV,Times Table<br><br>{{c1::14::number}} x {{c2::1::times}} = {{c3::14::answer}},,ttx14
nZnLrO{Q4{,Times Table<br><br>{{c1::14::number}} x {{c2::2::times}} = {{c3::28::answer}},,ttx14
Inz;!0:di!,Times Table<br><br>{{c1::14::number}} x {{c2::3::times}} = {{c3::42::answer}},,ttx14
KV;YiKPXk},Times Table<br><br>{{c1::14::number}} x {{c2::4::times}} = {{c3::56::answer}},,ttx14
"mLhb<%o{,M",Times Table<br><br>{{c1::14::number}} x {{c2::5::times}} = {{c3::70::answer}},,ttx14
"O0rl,T}}84",Times Table<br><br>{{c1::14::number}} x {{c2::6::times}} = {{c3::84::answer}},,ttx14
xl&V>ICzCw,Times Table<br><br>{{c1::14::number}} x {{c2::7::times}} = {{c3::98::answer}},,ttx14
m{>I>v[a-5,Times Table<br><br>{{c1::14::number}} x {{c2::8::times}} = {{c3::112::answer}},,ttx14
b1pXpt0p_.,Times Table<br><br>{{c1::14::number}} x {{c2::9::times}} = {{c3::126::answer}},,ttx14
L9U#>aGxha,Times Table<br><br>{{c1::14::number}} x {{c2::10::times}} = {{c3::140::answer}},,ttx14
h%NeBE?6Z*,Times Table<br><br>{{c1::14::number}} x {{c2::11::times}} = {{c3::154::answer}},,ttx14
Qit2A@(F>O,Times Table<br><br>{{c1::14::number}} x {{c2::12::times}} = {{c3::168::answer}},,ttx14
Mo3ez?+~$4,Times Table<br><br>{{c1::14::number}} x {{c2::13::times}} = {{c3::182::answer}},,ttx14
x3v|qU4_A5,Times Table<br><br>{{c1::14::number}} x {{c2::14::times}} = {{c3::196::answer}},,ttx14
"Ji<tgXN,=f",Times Table<br><br>{{c1::14::number}} x {{c2::15::times}} = {{c3::210::answer}},,ttx14
Jkf;nVzEY@,Times Table<br><br>{{c1::14::number}} x {{c2::16::times}} = {{c3::224::answer}},,ttx14
"Nc=hV,jdjh",Times Table<br><br>{{c1::14::number}} x {{c2::17::times}} = {{c3::238::answer}},,ttx14
B&_mKF]za*,Times Table<br><br>{{c1::14::number}} x {{c2::18::times}} = {{c3::252::answer}},,ttx14
Mh!9e>yvqD,Times Table<br><br>{{c1::14::number}} x {{c2::19::times}} = {{c3::266::answer}},,ttx14
g$o<-R9|>&,Times Table<br><br>{{c1::14::number}} x {{c2::20::times}} = {{c3::280::answer}},,ttx14
o=4fh=EHZp,Times Table<br><br>{{c1::15::number}} x {{c2::1::times}} = {{c3::15::answer}},,ttx15
Ge=l*=fk8m,Times Table<br><br>{{c1::15::number}} x {{c2::2::times}} = {{c3::30::answer}},,ttx15
n4TProwMq=,Times Table<br><br>{{c1::15::number}} x {{c2::3::times}} = {{c3::45::answer}},,ttx15
yjR{A#]vD],Times Table<br><br>{{c1::15::number}} x {{c2::4::times}} = {{c3::60::answer}},,ttx15
J5p$y9>J)],Times Table<br><br>{{c1::15::number}} x {{c2::5::times}} = {{c3::75::answer}},,ttx15
B978m~5cvd,Times Table<br><br>{{c1::15::number}} x {{c2::6::times}} = {{c3::90::answer}},,ttx15
dytF7~R:6G,Times Table<br><br>{{c1::15::number}} x {{c2::7::times}} = {{c3::105::answer}},,ttx15
r$IU)sMrxI,Times Table<br><br>{{c1::15::number}} x {{c2::8::times}} = {{c3::120::answer}},,ttx15
iAz?&BQVK),Times Table<br><br>{{c1::15::number}} x {{c2::9::times}} = {{c3::135::answer}},,ttx15
dEIRxq_=]L,Times Table<br><br>{{c1::15::number}} x {{c2::10::times}} = {{c3::150::answer}},,ttx15
OcJ3~~cc?M,Times Table<br><br>{{c1::15::number}} x {{c2::11::times}} = {{c3::165::answer}},,ttx15
qTgcuIM[Nn,Times Table<br><br>{{c1::15::number}} x {{c2::12::times}} = {{c3::180::answer}},,ttx15
m~9BdW(RX.,Times Table<br><br>{{c1::15::number}} x {{c2::13::times}} = {{c3::195::answer}},,ttx15
N`#PkE;A:=,Times Table<br><br>{{c1::15::number}} x {{c2::14::times}} = {{c3::210::answer}},,ttx15
D]:7P-^-U4,Times Table<br><br>{{c1::15::number}} x {{c2::15::times}} = {{c3::225::answer}},,ttx15
HTgfTqW~#E,Times Table<br><br>{{c1::15::number}} x {{c2::16::times}} = {{c3::240::answer}},,ttx15
bmx]^V>%M5,Times Table<br><br>{{c1::15::number}} x {{c2::17::times}} = {{c3::255::answer}},,ttx15
"P,2/e(SJWs",Times Table<br><br>{{c1::15::number}} x {{c2::18::times}} = {{c3::270::answer}},,ttx15
O^%:}=;5?&,Times Table<br><br>{{c1::15::number}} x {{c2::19::times}} = {{c3::285::answer}},,ttx15
"j&ac2C,H1:",Times Table<br><br>{{c1::15::number}} x {{c2::20::times}} = {{c3::300::answer}},,ttx15
rSF^I4wR_g,Times Table<br><br>{{c1::16::number}} x {{c2::1::times}} = {{c3::16::answer}},,ttx16
dIk16>MI)6,Times Table<br><br>{{c1::16::number}} x {{c2::2::times}} = {{c3::32::answer}},,ttx16
fjSH%EvQaT,Times Table<br><br>{{c1::16::number}} x {{c2::3::times}} = {{c3::48::answer}},,ttx16
MX4NENht/f,Times Table<br><br>{{c1::16::number}} x {{c2::4::times}} = {{c3::64::answer}},,ttx16
FVopf&s)D`,Times Table<br><br>{{c1::16::number}} x {{c2::5::times}} = {{c3::80::answer}},,ttx16
cB7KZr)LV:,Times Table<br><br>{{c1::16::number}} x {{c2::6::times}} = {{c3::96::answer}},,ttx16
vzyq/-t#!-,Times Table<br><br>{{c1::16::number}} x {{c2::7::times}} = {{c3::112::answer}},,ttx16
L^U*<Es9/.,Times Table<br><br>{{c1::16::number}} x {{c2::8::times}} = {{c3::128::answer}},,ttx16
f|P;^j?eGS,Times Table<br><br>{{c1::16::number}} x {{c2::9::times}} = {{c3::144::answer}},,ttx16
lN#V[n#_9<,Times Table<br><br>{{c1::16::number}} x {{c2::10::times}} = {{c3::160::answer}},,ttx16
EA8d{ai4PT,Times Table<br><br>{{c1::16::number}} x {{c2::11::times}} = {{c3::176::answer}},,ttx16
m`t!;xg~Pz,Times Table<br><br>{{c1::16::number}} x {{c2::12::times}} = {{c3::192::answer}},,ttx16
lVQQa^*4:8,Times Table<br><br>{{c1::16::number}} x {{c2::13::times}} = {{c3::208::answer}},,ttx16
ya$#%(C[J3,Times Table<br><br>{{c1::16::number}} x {{c2::14::times}} = {{c3::224::answer}},,ttx16
A~M)!2Dlt},Times Table<br><br>{{c1::16::number}} x {{c2::15::times}} = {{c3::240::answer}},,ttx16
sOn%nfKoV[,Times Table<br><br>{{c1::16::number}} x {{c2::16::times}} = {{c3::256::answer}},,ttx16
h#g7*aV6YD,Times Table<br><br>{{c1::16::number}} x {{c2::17::times}} = {{c3::272::answer}},,ttx16
bfMz@+[gxN,Times Table<br><br>{{c1::16::number}} x {{c2::18::times}} = {{c3::288::answer}},,ttx16
pB)I1B=.M~,Times Table<br><br>{{c1::16::number}} x {{c2::19::times}} = {{c3::304::answer}},,ttx16
pITFu-hP-L,Times Table<br><br>{{c1::16::number}} x {{c2::20::times}} = {{c3::320::answer}},,ttx16
"td7A_2b,3T",Times Table<br><br>{{c1::17::number}} x {{c2::1::times}} = {{c3::17::answer}},,ttx17
sf$-iPye^6,Times Table<br><br>{{c1::17::number}} x {{c2::2::times}} = {{c3::34::answer}},,ttx17
F%kDLdo8_[,Times Table<br><br>{{c1::17::number}} x {{c2::3::times}} = {{c3::51::answer}},,ttx17
"PKr,vrWE2!",Times Table<br><br>{{c1::17::number}} x {{c2::4::times}} = {{c3::68::answer}},,ttx17
n0z/HB6]JR,Times Table<br><br>{{c1::17::number}} x {{c2::5::times}} = {{c3::85::answer}},,ttx17
mAY}]3@)=q,Times Table<br><br>{{c1::17::number}} x {{c2::6::times}} = {{c3::102::answer}},,ttx17
NKZn!/0Rd2,Times Table<br><br>{{c1::17::number}} x {{c2::7::times}} = {{c3::119::answer}},,ttx17
sjK+M_~aNV,Times Table<br><br>{{c1::17::number}} x {{c2::8::times}} = {{c3::136::answer}},,ttx17
r-`9]gVr/Q,Times Table<br><br>{{c1::17::number}} x {{c2::9::times}} = {{c3::153::answer}},,ttx17
"OlBHWJ,Q-n",Times Table<br><br>{{c1::17::number}} x {{c2::10::times}} = {{c3::170::answer}},,ttx17
gF0jgFVfb[,Times Table<br><br>{{c1::17::number}} x {{c2::11::times}} = {{c3::187::answer}},,ttx17
E%~+zr)^li,Times Table<br><br>{{c1::17::number}} x {{c2::12::times}} = {{c3::204::answer}},,ttx17
n/wi#MHES6,Times Table<br><br>{{c1::17::number}} x {{c2::13::times}} = {{c3::221::answer}},,ttx17
wPIENp1G`k,Times Table<br><br>{{c1::17::number}} x {{c2::14::times}} = {{c3::238::answer}},,ttx17
sL107DXo-n,Times Table<br><br>{{c1::17::number}} x {{c2::15::times}} = {{c3::255::answer}},,ttx17
nt#vGR]fjQ,Times Table<br><br>{{c1::17::number}} x {{c2::16::times}} = {{c3::272::answer}},,ttx17
g]VIt8u--(,Times Table<br><br>{{c1::17::number}} x {{c2::17::times}} = {{c3::289::answer}},,ttx17
xf72Bv!Ntv,Times Table<br><br>{{c1::17::number}} x {{c2::18::times}} = {{c3::306::answer}},,ttx17
k=2#Nr~HUc,Times Table<br><br>{{c1::17::number}} x {{c2::19::times}} = {{c3::323::answer}},,ttx17
JIxNRNs+6w,Times Table<br><br>{{c1::17::number}} x {{c2::20::times}} = {{c3::340::answer}},,ttx17
u84Y4#YiPF,Times Table<br><br>{{c1::18::number}} x {{c2::1::times}} = {{c3::18::answer}},,ttx18
H@WAl[7NtZ,Times Table<br><br>{{c1::18::number}} x {{c2::2::times}} = {{c3::36::answer}},,ttx18
"wMk,T&}~dJ",Times Table<br><br>{{c1::18::number}} x {{c2::3::times}} = {{c3::54::answer}},,ttx18
c<C(9ae-`F,Times Table<br><br>{{c1::18::number}} x {{c2::4::times}} = {{c3::72::answer}},,ttx18
o=R^n&oB|&,Times Table<br><br>{{c1::18::number}} x {{c2::5::times}} = {{c3::90::answer}},,ttx18
y$E1J==D?V,Times Table<br><br>{{c1::18::number}} x {{c2::6::times}} = {{c3::108::answer}},,ttx18
N@fKT#CIV5,Times Table<br><br>{{c1::18::number}} x {{c2::7::times}} = {{c3::126::answer}},,ttx18
Q>u<mq:wZo,Times Table<br><br>{{c1::18::number}} x {{c2::8::times}} = {{c3::144::answer}},,ttx18
er*&(:`T)},Times Table<br><br>{{c1::18::number}} x {{c2::9::times}} = {{c3::162::answer}},,ttx18
gZ}*%8}a;e,Times Table<br><br>{{c1::18::number}} x {{c2::10::times}} = {{c3::180::answer}},,ttx18
LgXYlS%Wda,Times Table<br><br>{{c1::18::number}} x {{c2::11::times}} = {{c3::198::answer}},,ttx18
vKu(?+JG*j,Times Table<br><br>{{c1::18::number}} x {{c2::12::times}} = {{c3::216::answer}},,ttx18
C1iF`C9reu,Times Table<br><br>{{c1::18::number}} x {{c2::13::times}} = {{c3::234::answer}},,ttx18
oQ3:`!yF%3,Times Table<br><br>{{c1::18::number}} x {{c2::14::times}} = {{c3::252::answer}},,ttx18
fF^z3d[5nX,Times Table<br><br>{{c1::18::number}} x {{c2::15::times}} = {{c3::270::answer}},,ttx18
cszXU#q>8H,Times Table<br><br>{{c1::18::number}} x {{c2::16::times}} = {{c3::288::answer}},,ttx18
bdH|mRdnVG,Times Table<br><br>{{c1::18::number}} x {{c2::17::times}} = {{c3::306::answer}},,ttx18
qbZu(-7=*g,Times Table<br><br>{{c1::18::number}} x {{c2::18::times}} = {{c3::324::answer}},,ttx18
F?n9K[i<^~,Times Table<br><br>{{c1::18::number}} x {{c2::19::times}} = {{c3::342::answer}},,ttx18
K~=YI_[T}x,Times Table<br><br>{{c1::18::number}} x {{c2::20::times}} = {{c3::360::answer}},,ttx18
"E1Hkdic,}3",Times Table<br><br>{{c1::19::number}} x {{c2::1::times}} = {{c3::19::answer}},,ttx19
nyaDfn2E(g,Times Table<br><br>{{c1::19::number}} x {{c2::2::times}} = {{c3::38::answer}},,ttx19
n0/+#UWX71,Times Table<br><br>{{c1::19::number}} x {{c2::3::times}} = {{c3::57::answer}},,ttx19
HHE|$hQNsT,Times Table<br><br>{{c1::19::number}} x {{c2::4::times}} = {{c3::76::answer}},,ttx19
qO(VRE^E$o,Times Table<br><br>{{c1::19::number}} x {{c2::5::times}} = {{c3::95::answer}},,ttx19
z`xLrntMbN,Times Table<br><br>{{c1::19::number}} x {{c2::6::times}} = {{c3::114::answer}},,ttx19
d/a!YC[)_G,Times Table<br><br>{{c1::19::number}} x {{c2::7::times}} = {{c3::133::answer}},,ttx19
uR$#L}nY-T,Times Table<br><br>{{c1::19::number}} x {{c2::8::times}} = {{c3::152::answer}},,ttx19
hM?9b=|(:l,Times Table<br><br>{{c1::19::number}} x {{c2::9::times}} = {{c3::171::answer}},,ttx19
iG+oS$CU}Z,Times Table<br><br>{{c1::19::number}} x {{c2::10::times}} = {{c3::190::answer}},,ttx19
dP6z=mvy8-,Times Table<br><br>{{c1::19::number}} x {{c2::11::times}} = {{c3::209::answer}},,ttx19
D%U0mdke5O,Times Table<br><br>{{c1::19::number}} x {{c2::12::times}} = {{c3::228::answer}},,ttx19
0zCxO/5mY,Times Table<br><br>{{c1::19::number}} x {{c2::13::times}} = {{c3::247::answer}},,ttx19
K8#3B{A?@h,Times Table<br><br>{{c1::19::number}} x {{c2::14::times}} = {{c3::266::answer}},,ttx19
L5xUx16ZKG,Times Table<br><br>{{c1::19::number}} x {{c2::15::times}} = {{c3::285::answer}},,ttx19
jHeEe7e>(T,Times Table<br><br>{{c1::19::number}} x {{c2::16::times}} = {{c3::304::answer}},,ttx19
jWb?<Y=I.<,Times Table<br><br>{{c1::19::number}} x {{c2::17::times}} = {{c3::323::answer}},,ttx19
duYqcjr$+F,Times Table<br><br>{{c1::19::number}} x {{c2::18::times}} = {{c3::342::answer}},,ttx19
cnfK1ln}{N,Times Table<br><br>{{c1::19::number}} x {{c2::19::times}} = {{c3::361::answer}},,ttx19
bx)ZFL4BhI,Times Table<br><br>{{c1::19::number}} x {{c2::20::times}} = {{c3::380::answer}},,ttx19
DXl40p5wJ{,Times Table<br><br>{{c1::20::number}} x {{c2::1::times}} = {{c3::20::answer}},,ttx20
L[O}Nr^UW3,Times Table<br><br>{{c1::20::number}} x {{c2::2::times}} = {{c3::40::answer}},,ttx20
b@r}ET@3]^,Times Table<br><br>{{c1::20::number}} x {{c2::3::times}} = {{c3::60::answer}},,ttx20
uPZ?XrgQJ#,Times Table<br><br>{{c1::20::number}} x {{c2::4::times}} = {{c3::80::answer}},,ttx20
PfEuGNO/`.,Times Table<br><br>{{c1::20::number}} x {{c2::5::times}} = {{c3::100::answer}},,ttx20
u3qTlK9l-o,Times Table<br><br>{{c1::20::number}} x {{c2::6::times}} = {{c3::120::answer}},,ttx20
d!PjVA-z>2,Times Table<br><br>{{c1::20::number}} x {{c2::7::times}} = {{c3::140::answer}},,ttx20
L87n)4~u!m,Times Table<br><br>{{c1::20::number}} x {{c2::8::times}} = {{c3::160::answer}},,ttx20
LpD]MlEe~#,Times Table<br><br>{{c1::20::number}} x {{c2::9::times}} = {{c3::180::answer}},,ttx20
O$Kg_JH(*4,Times Table<br><br>{{c1::20::number}} x {{c2::10::times}} = {{c3::200::answer}},,ttx20
x!9TwG3%`I,Times Table<br><br>{{c1::20::number}} x {{c2::11::times}} = {{c3::220::answer}},,ttx20
y@+;_ii3o0,Times Table<br><br>{{c1::20::number}} x {{c2::12::times}} = {{c3::240::answer}},,ttx20
"Di,s>#&Ne",Times Table<br><br>{{c1::20::number}} x {{c2::13::times}} = {{c3::260::answer}},,ttx20
BuuMZ)mi?c,Times Table<br><br>{{c1::20::number}} x {{c2::14::times}} = {{c3::280::answer}},,ttx20
I6:I3&c&L4,Times Table<br><br>{{c1::20::number}} x {{c2::15::times}} = {{c3::300::answer}},,ttx20
zMJrC2;ZRE,Times Table<br><br>{{c1::20::number}} x {{c2::16::times}} = {{c3::320::answer}},,ttx20
PhGhh)&3^g,Times Table<br><br>{{c1::20::number}} x {{c2::17::times}} = {{c3::340::answer}},,ttx20
icK5a1he}],Times Table<br><br>{{c1::20::number}} x {{c2::18::times}} = {{c3::360::answer}},,ttx20
f&s(ya]<6W,Times Table<br><br>{{c1::20::number}} x {{c2::19::times}} = {{c3::380::answer}},,ttx20
Mne|=DD}2p,Times Table<br><br>{{c1::20::number}} x {{c2::20::times}} = {{c3::400::answer}},,ttx20
G9_sJ;d+?w,Square of {{c1::1::number}} = {{c2::1::answer}},,squares
N[};eX(|J[,Square of {{c1::2::number}} = {{c2::4::answer}},,squares
o.XTLrU9Q/,Square of {{c1::3::number}} = {{c2::9::answer}},,squares
M/{ybklNYD,Square of {{c1::4::number}} = {{c2::16::answer}},,squares
gB/EKm1+-O,Square of {{c1::5::number}} = {{c2::25::answer}},,squares
pqM(G;*b=T,Square of {{c1::6::number}} = {{c2::36::answer}},,squares
Gdg%@Z0v5Q,Square of {{c1::7::number}} = {{c2::49::answer}},,squares
m+#=enA%7y,Square of {{c1::8::number}} = {{c2::64::answer}},,squares
K~$~rXtOrv,Square of {{c1::9::number}} = {{c2::81::answer}},,squares
CqK{5}clKH,Square of {{c1::10::number}} = {{c2::100::answer}},,squares
JKiJ91D9*Z,Square of {{c1::11::number}} = {{c2::121::answer}},,squares
KW)|G^iiP[,Square of {{c1::12::number}} = {{c2::144::answer}},,squares
LFfBvZ9zug,Square of {{c1::13::number}} = {{c2::169::answer}},,squares
G2FnZ9wA^I,Square of {{c1::14::number}} = {{c2::196::answer}},,squares
"o,H#24=!38",Square of {{c1::15::number}} = {{c2::225::answer}},,squares
H@E*9lN1`-,Square of {{c1::16::number}} = {{c2::256::answer}},,squares
A.(}B23SUJ,Square of {{c1::17::number}} = {{c2::289::answer}},,squares
t<<Jwc?6vN,Square of {{c1::18::number}} = {{c2::324::answer}},,squares
eZBbe{eOuk,Square of {{c1::19::number}} = {{c2::361::answer}},,squares
N_Drd/uzFn,Square of {{c1::20::number}} = {{c2::400::answer}},,squares
o/D+rI-`R7,Cube of {{c1::1::number}} = {{c2::1::answer}},,cubes
bfe=e-_O_O,Cube of {{c1::2::number}} = {{c2::8::answer}},,cubes
O!(4qud6b[,Cube of {{c1::3::number}} = {{c2::27::answer}},,cubes
QYlxW)uZH3,Cube of {{c1::4::number}} = {{c2::64::answer}},,cubes
m]&aL|S]m8,Cube of {{c1::5::number}} = {{c2::125::answer}},,cubes
H8pvy;{iLj,Cube of {{c1::6::number}} = {{c2::216::answer}},,cubes
n:h1|Th(cQ,Cube of {{c1::7::number}} = {{c2::343::answer}},,cubes
BU#27.3fWA,Cube of {{c1::8::number}} = {{c2::512::answer}},,cubes
v}R^5`uh+=,Cube of {{c1::9::number}} = {{c2::729::answer}},,cubes
wvUn[2#@0w,Cube of {{c1::10::number}} = {{c2::1000::answer}},,cubes
o<Z-wsKz3),Cube of {{c1::11::number}} = {{c2::1331::answer}},,cubes
q{sWUFUh*F,Cube of {{c1::12::number}} = {{c2::1728::answer}},,cubes
n:b2c}6AkR,Prime number between 1 to 10<br><br>{{c1::2::number}}&nbsp;{{c2::3::answer}}&nbsp;{{c3::5::answer}}&nbsp;{{c4::7::answer}},,primes
r^G(pLXis@,Prime number between 11 to 20<br><br>{{c1::11::number}}&nbsp;{{c2::13::answer}}&nbsp;{{c3::17::answer}}&nbsp;{{c4::19::answer}},,primes
r{[W9K@<?3,Prime number between 21 to 30<br><br>{{c1::23::number}}&nbsp;{{c2::29::answer}},,primes
yf)7f0f%:D,Prime number between 31 to 40<br><br>{{c1::31::number}}&nbsp;{{c2::37::answer}},,primes
"g?3]`+,QbT",Prime number between 41 to 50<br><br>{{c1::41::number}}&nbsp;{{c2::43::answer}}&nbsp;{{c3::47::answer}},,primes
b~oYE3tIIm,Prime number between 51 to 60<br><br>{{c1::53::number}}&nbsp;{{c2::59::answer}},,primes
M!UPu|zuHm,Prime number between 61 to 70<br><br>{{c1::61::number}}&nbsp;{{c2::67::answer}},,primes
FMY[F1<.^@,Prime number between 71 to 80<br><br>{{c1::71::number}}&nbsp;{{c2::73::answer}}&nbsp;{{c2::79::answer}},,primes
p~nK;&ivj],Prime number between 81 to 90<br><br>{{c1::83::number}}&nbsp;{{c2::89::answer}},,primes
j11$ENYH!r,Prime number between 91 to 100<br><br>{{c1::97::number}},,primes
KUQ0S`K<`,Different ways of saying the same thing<br><br>{{c1::\(\frac 12\)::fraction}}&nbsp;= {{c2::0.5::decimal}} = {{c3::50%::percentage}},,fractions
A5J:zT|&&r,Different ways of saying the same thing<br><br>{{c1::\(\frac 13\)::fraction}}&nbsp;= {{c2::0.3333::decimal}} = {{c3::33.33%::percentage}},,fractions
mQ[BuKexFg,Different ways of saying the same thing<br><br>{{c1::\(\frac 14\)::fraction}}&nbsp;= {{c2::0.25::decimal}} = {{c3::25%::percentage}},,fractions
e?kKhsc0]6,Different ways of saying the same thing<br><br>{{c1::\(\frac 15\)::fraction}}&nbsp;= {{c2::0.2::decimal}} = {{c3::20%::percentage}},,fractions
JaC:Chmy)2,Different ways of saying the same thing<br><br>{{c1::\(\frac 16\)::fraction}}&nbsp;= {{c2::0.1667::decimal}} = {{c3::16.67%::percentage}},,fractions
f9q3~(-=5A,Different ways of saying the same thing<br><br>{{c1::\(\frac 17\)::fraction}}&nbsp;= {{c2::0.1428::decimal}} = {{c3::14.28%::percentage}},,fractions
JtUkVBxzm7,Different ways of saying the same thing<br><br>{{c1::\(\frac 18\)::fraction}}&nbsp;= {{c2::0.125::decimal}} = {{c3::12.5%::percentage}},,fractions
"t,}wv8#C0)",Different ways of saying the same thing<br><br>{{c1::\(\frac 19\)::fraction}}&nbsp;= {{c2::0.1111::decimal}} = {{c3::11.11%::percentage}},,fractions
